mesh,original_faces,gazebo_faces,face_ratio,original_bytes,gazebo_bytes,bounds_delta_m
FL_calf_Link.STL,4172,4172,1.000000,208684,208684,0
FL_calf_rotor_Link.STL,214192,53547,0.249995,10709684,2677434,0.00113591924
FL_foot_Link.STL,31430,5000,0.159084,1571584,250084,0.000442758203
FL_hip_Link.STL,7552,7552,1.000000,377684,377684,0
FL_hip_rotor_Link.STL,214192,30186,0.140930,10709684,1509384,0.0024022623
FL_thigh_Link.STL,69580,8350,0.120006,3479084,417584,0.00103921255
FL_thigh_rotor_Link.STL,214192,29456,0.137521,10709684,1472884,0.00213574991
FR_calf_Link.STL,4172,4172,1.000000,208684,208684,0
FR_calf_rotor_Link.STL,214192,74967,0.349999,10709684,3748434,0.000620760024
FR_foot_Link.STL,31430,5000,0.159084,1571584,250084,0.000442758203
FR_hip_Link.STL,7600,7600,1.000000,380084,380084,0
FR_hip_rotor_Link.STL,214192,53548,0.250000,10709684,2677484,0.00161034614
FR_thigh_Link.STL,111664,13400,0.120003,5583284,670084,0.00101392716
FR_thigh_rotor_Link.STL,214192,29456,0.137521,10709684,1472884,0.00213574991
RL_calf_Link.STL,4172,4172,1.000000,208684,208684,0
RL_calf_rotor_Link.STL,214192,53548,0.250000,10709684,2677484,0.00175766274
RL_foot_Link.STL,31430,5000,0.159084,1571584,250084,0.00043605268
RL_hip_Link.STL,7600,7600,1.000000,380084,380084,0
RL_hip_rotor_Link.STL,214192,30167,0.140841,10709684,1508434,0.002402246
RL_thigh_Link.STL,78130,9376,0.120005,3906584,468884,0.00137832388
RL_thigh_rotor_Link.STL,214192,53548,0.250000,10709684,2677484,0.000918970909
RR_calf_Link.STL,4172,4172,1.000000,208684,208684,0
RR_calf_rotor_Link.STL,214192,74967,0.349999,10709684,3748434,0.000825181603
RR_foot_Link.STL,31430,5000,0.159084,1571584,250084,0.00043605268
RR_hip_Link.STL,7552,7552,1.000000,377684,377684,0
RR_hip_rotor_Link.STL,214192,30083,0.140449,10709684,1504234,0.00240226323
RR_thigh_Link.STL,79086,9490,0.119996,3954384,474584,0.000976741314
RR_thigh_rotor_Link.STL,214192,29456,0.137521,10709684,1472884,0.00213574991
base_link.STL,1240861,148902,0.119999,62043134,7445184,0.00230304897
